dl.smv	dl.lola		dl.mcm	dl.clp			dl.smod			dl.cnmc					
needed	stat	time	needed	gen	solve	time	gen	solve	needed	gen	solve	sym	asym	dis	input
0.020	0	0.000	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.1	0.0	0.0	0.01	0.0	test/nets/plain/small/recursion
24.500	0	0.040	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.09	0.0	0.0	0.0	0.0	test/nets/plain/small/rrr10-1.sync
?	0	2.050	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.09	0.0	0.0	0.0	0.0	test/nets/plain/small/rrr20-1.sync
?	0	8.380	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.1	0.0	0.01	0.0	0.0	test/nets/plain/small/rrr30-1.sync
?	error	289.360	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.1	0.0	0.0	0.0	0.0	test/nets/plain/small/rrr50-1.sync
?	0	0.010	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.12	0.0	0.0	0.0	0.01	test/nets/plain/small/rw_1w1r
?	0	0.010	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.11	0.0	0.0	0.01	0.0	test/nets/plain/small/rw_1w1r.sync
?	0	0.020	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.11	0.01	0.0	0.0	0.01	test/nets/plain/small/sdl_arq
2.720	0	0.000	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.09	0.0	0.0	0.0	0.0	test/nets/plain/small/sdl_arq_deadlock
?	0	0.010	na	0.000	0.000	0.000	na	na	0.004	0.1	0.0	na	na	na	test/nets/plain/small/sdl_example
?	0	0.000	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.12	0.0	0.0	0.0	0.01	test/nets/plain/small/sentest_100.fsa
?	0	0.000	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.11	0.0	0.0	0.0	0.0	test/nets/plain/small/sentest_25.fsa
?	0	0.000	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.12	0.0	0.0	0.0	0.01	test/nets/plain/small/sentest_50.fsa
?	0	0.000	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.12	0.0	0.0	0.0	0.01	test/nets/plain/small/sentest_75.fsa
0.020	0	0.000	0.00	0.000	0.000	0.000	0.000	0.004	0.004	0.1	0.0	0.0	0.0	0.0	test/nets/plain/small/stack_full
?	0	0.520	2.30	0.000	0.020	0.020	0.084	0.220	0.304	0.52	0.32	0.02	0.06	0.07	test/nets/pr/large/bds_1.sync
?	killed	0.000	?	0.000	0.140	0.160	0.268	66.208	66.476	1.22	0.0	0.07	0.21	0.21	test/nets/pr/large/byzagr4_1b
?	0	4.140	52.82	0.000	0.140	0.140	0.392	7.912	8.304	1.19	0.0	0.06	0.11	0.2	test/nets/pr/large/dpd_7.sync
?	0	0.130	2.88	0.000	0.160	0.310	3.033	29.721	32.754	17.78	12.34	0.74	1.19	1.56	test/nets/pr/large/elevator_4
?	0	0.120	2.76	0.000	0.160	0.320	3.036	36.506	39.542	17.73	12.3	0.74	1.18	1.51	test/nets/pr/large/elevator_4.dlmcs.sync
?	0	0.140	2.90	0.000	0.160	0.330	3.028	32.278	35.306	17.68	12.23	0.74	1.19	1.5	test/nets/pr/large/elevator_4.fsa
?	0	0.150	?	?	?	0.000	?	?	?	14.97	14.54	0.77	1.62	1.58	test/nets/pr/large/elevator_4.old
?	0	281.480	55.56	0.000	0.100	0.140	1.388	0.308	1.696	6.22	2.43	0.16	0.83	0.81	test/nets/pr/large/ftp_1.fsa
?	killed	0.000	?	0.000	0.220	0.280	8.576	0.824	9.400	6.6	4.24	0.22	0.98	0.94	test/nets/pr/large/ftp_1.sync
?	0	0.380	20.20	0.000	0.080	0.090	0.840	0.148	0.988	1.53	0.0	0.04	0.08	0.21	test/nets/pr/large/furnace_3
10.280	0	0.250	4.54	0.000	0.020	0.020	0.112	0.020	0.132	1.02	0.0	0.02	0.04	0.11	test/nets/pr/large/furnace_3.fsa
?	0	6.000	?	0.000	2.240	2.380	27.265	2.336	29.601	11.78	6.53	0.26	1.2	1.21	test/nets/pr/large/furnace_4
?	0	0.000	1.56	0.000	0.560	0.560	0.208	28.413	28.621	0.91	0.0	0.05	0.13	0.16	test/nets/pr/large/key_3.sync
?	0	0.010	216.00	0.000	40.680	40.750	4.692	660.993	665.685	na	na	na	na	na	test/nets/pr/large/key_4
?	0	0.010	215.92	0.000	40.800	40.880	5.025	782.860	787.885	na	na	na	na	na	test/nets/pr/large/key_4.fsa
?	0	0.010	?	0.000	0.040	0.070	2.072	40.686	42.758	5.21	2.12	0.1	0.66	0.64	test/nets/pr/large/mmgt_4.fsa
?	0	0.010	5.12	0.000	0.020	0.020	0.348	0.444	0.792	1.29	1.5	0.04	0.14	0.23	test/nets/pr/large/q_1.sync
?	error	0.010	?	0.000	0.180	0.240	8.208	0.008	8.216	4.64	0.0	0.11	0.04	0.45	test/nets/pr/large/rw_12
?	error	0.010	?	0.000	1.080	1.220	30.577	0.020	30.597	11.14	5.51	0.23	0.11	0.96	test/nets/pr/large/rw_12.sync
?	0	0.180	500.92	0.000	0.180	0.190	0.584	3.368	3.952	1.64	3.88	0.05	0.21	0.28	test/nets/pr/large/rw_1w3r
?	0	0.200	506.18	0.000	0.200	0.200	0.588	3.732	4.320	1.61	0.0	0.05	0.21	0.28	test/nets/pr/large/rw_1w3r.sync
?	0	0.030	0.02	0.000	0.000	0.000	0.008	0.000	0.008	0.18	0.0	0.0	0.01	0.01	test/nets/pr/med/bds_1.fsa
?	0	0.020	33.12	0.000	0.000	0.010	0.012	0.052	0.064	0.27	0.1	0.01	0.02	0.03	test/nets/pr/med/bruijn_2
?	0	0.030	36.24	0.000	0.000	0.010	0.016	0.056	0.072	0.29	0.0	0.01	0.02	0.04	test/nets/pr/med/bruijn_2.sync
?	error	109.420	24.34	0.000	0.380	0.390	0.184	19.221	19.405	1.0	3.56	0.03	0.12	0.16	test/nets/pr/med/dme10
?	error	115.290	61.38	0.000	0.900	0.900	0.300	31.061	31.361	1.26	5.02	0.04	0.12	0.21	test/nets/pr/med/dme11
?	0	4.800	0.16	0.000	0.000	0.000	0.008	0.224	0.232	0.22	0.0	0.01	0.01	0.02	test/nets/pr/med/dme5
?	0	54.650	0.56	0.000	0.000	0.010	0.016	0.632	0.648	0.33	0.0	0.01	0.02	0.05	test/nets/pr/med/dme6
?	error	146.940	1.30	0.000	0.020	0.030	0.032	1.520	1.552	0.43	0.67	0.01	0.04	0.07	test/nets/pr/med/dme7
?	error	136.310	3.62	0.000	0.060	0.070	0.068	3.920	3.988	0.59	1.36	0.02	0.07	0.09	test/nets/pr/med/dme8
?	error	123.400	9.28	0.000	0.160	0.170	0.108	8.844	8.952	0.76	2.14	0.03	0.07	0.12	test/nets/pr/med/dme9
?	0	0.020	0.10	0.000	0.020	0.020	0.104	0.780	0.884	1.69	0.0	0.07	0.12	0.16	test/nets/pr/med/elevator_3
?	0	0.020	0.10	0.000	0.020	0.030	0.096	0.808	0.904	1.71	0.56	0.07	0.12	0.16	test/nets/pr/med/elevator_3.dlmcs.sync
?	0	0.020	0.12	0.000	0.020	0.020	0.100	0.776	0.876	1.65	0.0	0.08	0.12	0.15	test/nets/pr/med/elevator_3.fsa
0.640	0	0.020	0.04	0.000	0.000	0.000	0.008	0.000	0.008	0.22	0.0	0.01	0.01	0.02	test/nets/pr/med/furnace_2.fsa
?	0	0.010	0.16	0.000	0.180	0.190	0.048	4.060	4.108	0.49	2.78	0.02	0.07	0.07	test/nets/pr/med/key_3
?	0	0.000	0.14	0.000	0.180	0.200	0.048	3.968	4.016	0.46	0.0	0.02	0.06	0.06	test/nets/pr/med/key_3.fsa
