dl.smv		dl.lola		dl.mcm		dl.clp		dl.smod		dl.cnmc		
stat	result	stat	result	stat	result	stat	result	stat	result	stat	result	input
killed	?	0	DEAD	0	DEAD	0	DEAD	0	DEAD	killed	?	test/nets/pr/large/key_4.fsa
killed	?	0	DEAD	3	?	0	DEAD	0	DEAD	0	DEAD	test/nets/pr/large/mmgt_4.fsa
killed	?	0	DEAD	0	DEAD	0	DEAD	0	LIVE	0	DEAD	test/nets/pr/large/q_1.sync
killed	?	error	DEAD	3	?	0	LIVE	0	LIVE	0	LIVE	test/nets/pr/large/rw_12
killed	?	error	DEAD	killed	?	0	LIVE	0	LIVE	0	LIVE	test/nets/pr/large/rw_12.sync
killed	?	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/pr/large/rw_1w3r
killed	?	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/pr/large/rw_1w3r.sync
killed	?	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/pr/med/bds_1.fsa
killed	?	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/pr/med/bruijn_2
killed	?	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/pr/med/bruijn_2.sync
killed	?	error	DEAD	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/pr/med/dme10
killed	?	error	DEAD	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/pr/med/dme11
killed	?	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/pr/med/dme5
killed	?	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/pr/med/dme6
killed	?	error	DEAD	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/pr/med/dme7
killed	?	error	DEAD	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/pr/med/dme8
killed	?	error	DEAD	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/pr/med/dme9
killed	?	0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	test/nets/pr/med/elevator_3
killed	?	0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	test/nets/pr/med/elevator_3.dlmcs.sync
killed	?	0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	test/nets/pr/med/elevator_3.fsa
0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/pr/med/furnace_2.fsa
killed	?	0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	test/nets/pr/med/key_3
killed	?	0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	test/nets/pr/med/key_3.fsa
killed	?	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/pr/med/knuth_2
killed	?	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/pr/med/knuth_2.sync
0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	test/nets/pr/med/mmgt_3.fsa
killed	?	0	DEAD	0	DEAD	0	DEAD	0	!!LIVE	0	DEAD	test/nets/pr/med/q_1
killed	?	0	DEAD	0	DEAD	0	DEAD	0	!!LIVE	0	DEAD	test/nets/pr/med/q_1.fsa
killed	?	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/pr/med/rw_1w2r
killed	?	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/pr/med/rw_2w1r
killed	?	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/pr/med/rw_2w1r.sync
0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	test/nets/pr/med/speed_1.fsa
killed	?	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/pr/small/ab_gesc
0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/pr/small/abp_1.fsa
killed	?	error	DEAD	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/pr/small/byzagr4_0b
killed	?	error	DEAD	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/pr/small/byzagr4_0b.sync
killed	?	0	DEAD	0	DEAD-EV	0	DEAD	0	DEAD-EV	0	DEAD-EV	test/nets/pr/small/byzagr4_2a
killed	?	0	DEAD	0	DEAD-EV	0	DEAD	0	DEAD-EV	0	DEAD-EV	test/nets/pr/small/byzagr4_2a.sync
killed	?	killed	?	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/pr/small/cottbus_plate_5
